ticker,date,return
ADA,2022-10-26,-1.674953629
ADA,2022-10-27,-3.397589588
ADA,2022-10-28,4.132575729
ADA,2022-10-31,0.320816462
ADA,2022-11-01,-1.020272303
ADA,2022-11-02,-4.447239936
ADA,2022-11-03,1.471113463
ADA,2022-11-04,8.368830768
ADA,2022-11-07,-2.662688188
ADA,2022-11-08,-7.849480038
ADA,2022-11-09,-14.03686559
ADA,2022-11-10,17.08717904
ADA,2022-11-11,-5.044313602
ADA,2022-11-14,-0.821536446
ADA,2022-11-15,2.976403426
ADA,2022-11-16,-2.000457281
ADA,2022-11-17,-1.118362845
ADA,2022-11-18,-0.615299759
ADA,2022-11-21,-2.555263208
ADA,2022-11-22,2.518797363
ADA,2022-11-23,1.229097177
ADA,2022-11-24,-0.651716334
ADA,2022-11-25,0.21823905
ADA,2022-11-28,-3.932841389
ADA,2022-11-29,1.101285649
ADA,2022-11-30,3.28497426
ADA,2022-12-01,-1.43556668
ADA,2022-12-02,1.169872455
ADA,2022-12-05,-0.852339744
ADA,2022-12-06,-0.96485571
ADA,2022-12-07,-2.182434312
ADA,2022-12-08,1.736039297
ADA,2022-12-09,-1.128610091
ADA,2022-12-12,-0.232754765
ADA,2022-12-13,1.929532946
ADA,2022-12-14,-1.012150298
ADA,2022-12-15,-2.893352618
ADA,2022-12-16,-11.52618221
ADA,2022-12-19,-6.578913072
ADA,2022-12-20,3.050377261
ADA,2022-12-21,-2.555503984
ADA,2022-12-22,1.505955949
ADA,2022-12-23,1.187594583
ADA,2022-12-26,1.872538932
ADA,2022-12-27,-1.46487601
ADA,2022-12-28,-4.374800103
ADA,2022-12-29,-2.046293461
ADA,2022-12-30,0.695250084
ADA,2023-01-02,1.900093539
ADA,2023-01-03,-1.187427608
ADA,2023-01-04,6.335422548
ADA,2023-01-05,0.582672796
ADA,2023-01-06,2.743275081
ADA,2023-01-09,9.271755384
ADA,2023-01-10,1.462200788
ADA,2023-01-11,-1.725137586
ADA,2023-01-12,3.741469771
ADA,2023-01-13,4.385682136
ADA,2023-01-16,-0.126754626
ADA,2023-01-17,-1.001634215
ADA,2023-01-18,-5.004393357
ADA,2023-01-19,2.729996603
ADA,2023-01-20,5.968778967
ADA,2023-01-23,0.133591094
ADA,2023-01-24,-3.938209338
ADA,2023-01-25,1.832914284
ADA,2023-01-26,3.585418771
ADA,2023-01-27,1.38415852
ADA,2023-01-30,-6.113168225
ADA,2023-01-31,4.86225977
ADA,2023-02-01,2.191108656
ADA,2023-02-02,0.730547232
