ticker,date,open,high,low,close
LINK,6/25/2023,6.10074,6.37729,6.06402,6.10915
LINK,6/26/2023,6.12286,6.25686,6.02446,6.02446
LINK,6/27/2023,6.03317,6.25367,6.0076,6.21302
LINK,6/28/2023,6.21308,6.22502,5.7078,5.83184
LINK,6/29/2023,5.83184,6.18134,5.78864,5.90127
LINK,6/30/2023,5.90133,6.44734,5.73326,6.29506
LINK,7/1/2023,6.29496,6.50247,6.12183,6.4408
LINK,7/2/2023,6.44024,6.54828,6.33955,6.44678
LINK,7/3/2023,6.44678,6.68987,6.44142,6.58536
LINK,7/4/2023,6.5862,6.62996,6.40272,6.51123
LINK,7/5/2023,6.5261,6.58105,6.2179,6.27744
LINK,7/6/2023,6.27744,6.50627,6.0868,6.19334
LINK,7/7/2023,6.14755,6.22119,6.0239,6.16132
LINK,7/8/2023,6.15965,6.22052,6.09584,6.14108
LINK,7/9/2023,6.14188,6.24009,6.129,6.16521
LINK,7/10/2023,6.16541,6.29949,6.02334,6.20614
LINK,7/11/2023,6.18928,6.23476,6.12606,6.16002
LINK,7/12/2023,6.16232,6.3432,6.16232,6.21938
LINK,7/13/2023,6.21938,6.97981,6.21416,6.91807
LINK,7/14/2023,6.91406,7.34646,6.69888,6.87727
LINK,7/15/2023,6.86216,7.01988,6.8369,6.90867
LINK,7/16/2023,6.9083,6.92171,6.61537,6.67187
LINK,7/17/2023,6.67187,7.05904,6.45268,7.02389
LINK,7/18/2023,7.02789,7.29857,6.80528,6.89162
LINK,7/19/2023,6.89082,7.04633,6.77816,6.90963
LINK,7/20/2023,6.91463,8.39057,6.87078,8.22976
LINK,7/21/2023,8.23412,8.42993,8.05242,8.12876
LINK,7/22/2023,8.12866,8.33248,7.87544,8.0034
LINK,7/23/2023,8.00358,8.09026,7.78628,7.89616
LINK,7/24/2023,7.89374,7.91187,7.45065,7.60859
LINK,7/25/2023,7.60999,7.63868,7.34085,7.39708
LINK,7/26/2023,7.39708,7.8305,7.28219,7.74981
LINK,7/27/2023,7.74981,8.10663,7.68873,7.93836
LINK,7/28/2023,7.95775,8.08772,7.78603,7.82927
LINK,7/29/2023,7.82544,7.8945,7.72697,7.83612
LINK,7/30/2023,7.83042,7.8764,7.37147,7.50492
LINK,7/31/2023,7.50192,7.71432,7.43499,7.50212
LINK,8/1/2023,7.50092,7.59241,7.29482,7.51856
LINK,8/2/2023,7.51856,7.71175,7.34246,7.41237
LINK,8/3/2023,7.41237,7.42594,7.12056,7.12392
LINK,8/4/2023,7.12542,7.25249,7.01883,7.12167
LINK,8/5/2023,7.13476,7.24471,7.09868,7.21336
LINK,8/6/2023,7.22347,7.28494,7.05565,7.10785
LINK,8/7/2023,7.1214,7.22245,6.93909,7.17679
LINK,8/8/2023,7.17689,7.53007,7.17528,7.49088
LINK,8/9/2023,7.49248,7.90715,7.38079,7.68681
LINK,8/10/2023,7.67372,7.74777,7.55386,7.61732
LINK,8/11/2023,7.61612,7.63311,7.397,7.43941
LINK,8/12/2023,7.43931,7.52997,7.38269,7.40005
LINK,8/13/2023,7.40038,7.5508,7.40038,7.44499
LINK,8/14/2023,7.44451,7.62158,7.30382,7.41007
LINK,8/15/2023,7.41007,7.45081,6.80198,7.03196
LINK,8/16/2023,7.03196,7.06323,6.60216,6.69579
LINK,8/17/2023,6.69829,6.86084,5.59744,6.04775
LINK,8/18/2023,6.04855,6.30949,5.9984,6.18601
LINK,8/19/2023,6.18571,6.26118,6.11437,6.1477
LINK,8/20/2023,6.14825,6.23328,6.11825,6.19779
LINK,8/21/2023,6.19479,6.25375,6.01172,6.18217
LINK,8/22/2023,6.18137,6.25159,5.87661,5.96407
LINK,8/23/2023,5.96887,6.42868,5.94332,6.293
LINK,8/24/2023,6.28794,6.365,5.98327,6.05371
LINK,8/25/2023,6.03902,6.08851,5.91354,5.95922
LINK,8/26/2023,5.95986,6.03864,5.95418,6.0016
LINK,8/27/2023,6.0016,6.04048,5.95666,6.01897
LINK,8/28/2023,6.01891,6.03634,5.85599,5.92408
LINK,8/29/2023,5.92408,6.31298,5.84217,6.21628
LINK,8/30/2023,6.21622,6.23246,5.89011,5.9502
LINK,8/31/2023,5.9508,6.05935,5.73761,5.8164
LINK,9/1/2023,5.81634,6.02903,5.81427,5.89593
LINK,9/2/2023,5.89599,5.9967,5.88343,5.94025
LINK,9/3/2023,5.94025,6.06075,5.93741,6.01848
LINK,9/4/2023,6.01882,6.15854,5.95293,5.96153
LINK,9/5/2023,5.96213,6.14075,5.90701,6.1229
LINK,9/6/2023,6.1229,6.33264,6.09933,6.27997
LINK,9/7/2023,6.28003,6.46457,6.19747,6.37795
LINK,9/8/2023,6.3732,6.41378,6.16957,6.23733
LINK,9/9/2023,6.23733,6.28706,6.15584,6.16619
LINK,9/10/2023,6.16513,6.17815,5.94671,6.0486
LINK,9/11/2023,6.04866,6.05966,5.73726,5.79534
LINK,9/12/2023,5.79574,6.05911,5.78775,5.98336
LINK,9/13/2023,5.98736,6.08477,5.92601,6.0064
LINK,9/14/2023,6.0086,6.17378,6.0009,6.15799
LINK,9/15/2023,6.15799,6.27542,6.10375,6.23451
LINK,9/16/2023,6.23471,6.41993,6.18938,6.26336
LINK,9/17/2023,6.26446,6.29302,6.05941,6.09636
LINK,9/18/2023,6.09636,6.83203,6.09126,6.64736
LINK,9/19/2023,6.64736,6.92767,6.5217,6.86266
LINK,9/20/2023,6.85326,7.03588,6.7464,6.95032
LINK,9/21/2023,6.94862,6.96723,6.608,6.70853
LINK,9/22/2023,6.7095,6.96735,6.60107,6.94231
LINK,9/23/2023,6.94231,7.21803,6.92038,7.1632
LINK,9/24/2023,7.1632,7.24731,7.03882,7.04618
LINK,9/25/2023,7.04618,7.50597,6.91502,7.45003
LINK,9/26/2023,7.44965,7.5679,7.24744,7.38003
LINK,9/27/2023,7.38003,7.86515,7.26898,7.64282
LINK,9/28/2023,7.64074,8.04537,7.5704,7.84344
LINK,9/29/2023,7.84364,8.07271,7.67683,7.97762
LINK,9/30/2023,7.97652,8.26838,7.93992,8.12743
LINK,10/1/2023,8.12853,8.25304,7.78438,7.80736
LINK,10/2/2023,7.81596,8.14579,7.36012,7.45666
LINK,10/3/2023,7.45666,7.7398,7.3735,7.42953
