ticker,date,open,high,low,close,returns
ADA,6/25/23,0.290293,0.305049,0.288519,0.291903,0.00161
ADA,6/26/23,0.292203,0.293666,0.277736,0.280279,-0.011924
ADA,6/27/23,0.280269,0.289212,0.277375,0.289212,0.008943
ADA,6/28/23,0.289205,0.289625,0.26625,0.269577,-0.019628
ADA,6/29/23,0.269577,0.278115,0.266496,0.274238,0.004661
ADA,6/30/23,0.274104,0.299546,0.269584,0.287112,0.013008
ADA,7/1/23,0.287182,0.293355,0.281587,0.28981,0.002628
ADA,7/2/23,0.289807,0.293875,0.28564,0.289796,-1.1E-05
ADA,7/3/23,0.289796,0.299143,0.289196,0.296461,0.006665
ADA,7/4/23,0.296451,0.301641,0.289926,0.295745,-0.000706
ADA,7/5/23,0.295722,0.296759,0.280122,0.283255,-0.012467
ADA,7/6/23,0.283252,0.293674,0.276269,0.284444,0.001192
ADA,7/7/23,0.281285,0.285419,0.276514,0.284168,0.002883
ADA,7/8/23,0.284146,0.292953,0.281634,0.288606,0.00446
ADA,7/9/23,0.288546,0.291745,0.283561,0.284671,-0.003875
ADA,7/10/23,0.284741,0.292689,0.278192,0.288828,0.004087
ADA,7/11/23,0.288511,0.293979,0.28642,0.291066,0.002555
ADA,7/12/23,0.291056,0.295266,0.285181,0.287204,-0.003852
ADA,7/13/23,0.287474,0.366682,0.28574,0.337281,0.049807
ADA,7/14/23,0.337125,0.377567,0.316794,0.325359,-0.011766
ADA,7/15/23,0.325339,0.337591,0.323701,0.326778,0.001439
ADA,7/16/23,0.326775,0.327902,0.313484,0.317756,-0.009019
ADA,7/17/23,0.317786,0.319867,0.305833,0.313143,-0.004643
ADA,7/18/23,0.313463,0.314111,0.300128,0.304647,-0.008816
ADA,7/19/23,0.304637,0.325997,0.30406,0.325627,0.02099
ADA,7/20/23,0.325777,0.332073,0.313252,0.317921,-0.007856
ADA,7/21/23,0.318197,0.318861,0.31046,0.311936,-0.006261
ADA,7/22/23,0.311916,0.314965,0.306587,0.312161,0.000245
ADA,7/23/23,0.312144,0.318964,0.306479,0.315231,0.003087
ADA,7/24/23,0.315234,0.318874,0.299972,0.305493,-0.009741
ADA,7/25/23,0.305113,0.307658,0.301486,0.303589,-0.001524
ADA,7/26/23,0.303589,0.31069,0.300363,0.308352,0.004763
ADA,7/27/23,0.308282,0.313301,0.305323,0.307347,-0.000935
ADA,7/28/23,0.307737,0.31308,0.306091,0.311114,0.003377
ADA,7/29/23,0.311121,0.314381,0.308785,0.31263,0.001509
ADA,7/30/23,0.312617,0.318063,0.305483,0.310992,-0.001625
ADA,7/31/23,0.310702,0.318672,0.306831,0.306988,-0.003714
ADA,8/1/23,0.306988,0.30823,0.295522,0.306823,-0.000165
