ticker,date,open,high,low,close,returns
BNB,6/25/23,235.648,242.194,235.22,237.976,2.328
BNB,6/26/23,237.976,241.302,233.817,234.449,-3.527
BNB,6/27/23,234.349,240.882,233.751,239.043,4.694
BNB,6/28/23,239.045,239.145,225.814,230.698,-8.347
BNB,6/29/23,230.698,236.657,230.182,233.367,2.669
BNB,6/30/23,233.47,241.642,230.724,240.318,6.848
BNB,7/1/23,240.316,248.997,240.05,248.4,8.084
BNB,7/2/23,248.497,248.6,242.876,245.522,-2.975
BNB,7/3/23,245.622,254.392,245.205,247.317,1.695
BNB,7/4/23,247.117,247.42,240.426,242.453,-4.664
BNB,7/5/23,242.449,243.929,236.705,238.838,-3.611
BNB,7/6/23,238.736,244.412,233.812,234.379,-4.357
BNB,7/7/23,234.379,236.235,231.109,235.124,0.745
BNB,7/8/23,235.124,237.607,234.221,235.64,0.516
BNB,7/9/23,235.638,237.045,233.274,234.222,-1.416
BNB,7/10/23,234.322,246.415,231.529,244.749,10.427
BNB,7/11/23,244.924,248.727,243.051,248.003,3.079
BNB,7/12/23,247.905,250.4,242.583,243.993,-3.912
BNB,7/13/23,243.995,257.672,242.685,253.199,9.204
BNB,7/14/23,253.099,261.81,243.627,246.221,-6.878
BNB,7/15/23,246.321,252.578,245.93,250.675,4.354
BNB,7/16/23,250.673,252.173,243.922,244.712,-5.961
BNB,7/17/23,244.613,245.32,239.865,244.441,-0.172
BNB,7/18/23,244.342,246.742,237.617,240.253,-4.089
BNB,7/19/23,240.253,244.056,239.543,241.798,1.545
BNB,7/20/23,241.698,245,240.29,243.078,1.38
BNB,7/21/23,243.078,245.383,241.988,243.505,0.427
BNB,7/22/23,243.305,244.9,241.527,242.224,-1.081
BNB,7/23/23,242.227,243.995,240.136,241.693,-0.534
BNB,7/24/23,241.795,243.088,235.341,238.674,-3.121
BNB,7/25/23,238.771,239.771,236.248,237.583,-1.188
BNB,7/26/23,237.683,240.388,236.258,239.11,1.427
BNB,7/27/23,239.11,244.168,238.402,240.435,1.325
BNB,7/28/23,240.435,242.888,239.628,242.095,1.66
BNB,7/29/23,242.193,242.593,241.093,242.098,-0.095
BNB,7/30/23,242.098,243.79,240.402,242.178,0.08
BNB,7/31/23,242.178,244.478,240.473,241.559,-0.619
BNB,8/1/23,241.559,247.076,237.257,245.475,3.916
BNB,8/2/23,245.375,248.376,237.36,241.762,-3.613
BNB,8/3/23,241.862,242.062,238.059,240.705,-1.157
BNB,8/4/23,240.705,243.234,239.818,241.443,0.738
BNB,8/5/23,241.543,243.978,239.944,242.533,0.99
BNB,8/6/23,242.603,246.286,241.977,242.536,-0.067
BNB,8/7/23,242.536,244.606,237.621,241.417,-1.119
BNB,8/8/23,241.417,247.849,241.108,245.963,4.546
BNB,8/9/23,245.963,245.966,242.589,243.188,-2.775
BNB,8/10/23,243.188,244.153,240.228,240.844,-2.344
BNB,8/11/23,240.854,242.021,238.131,238.897,-1.957
BNB,8/12/23,238.937,241.13,238.637,240.205,1.268
BNB,8/13/23,240.205,241.712,239.834,240.612,0.407
BNB,8/14/23,240.59,241.04,239.71,240.463,-0.127
BNB,8/15/23,240.443,240.499,234.658,237.436,-3.007
BNB,8/16/23,237.538,237.538,230.458,231.441,-6.097
BNB,8/17/23,231.441,232.142,213.2,214.977,-16.464
BNB,8/18/23,214.884,222.515,213.468,216.492,1.608
BNB,8/19/23,216.39,219.143,213.627,216.544,0.154
BNB,8/20/23,216.644,217.983,215.376,216.889,0.245
BNB,8/21/23,216.789,217.081,206.292,211.268,-5.521
BNB,8/22/23,211.368,211.968,203.302,206.728,-4.64
BNB,8/23/23,206.73,218.669,206.328,215.459,8.729
BNB,8/24/23,215.457,220.851,215.457,217.089,1.632
BNB,8/25/23,216.989,219.401,213.729,217.98,0.991
BNB,8/26/23,218.078,219.086,216.096,216.581,-1.497
BNB,8/27/23,216.581,219.677,215.786,217.598,1.017
BNB,8/28/23,217.698,219.264,215.162,217.689,-0.009
BNB,8/29/23,217.689,234.25,216.85,227.143,9.454
BNB,8/30/23,227.241,227.539,221.776,223.1,-4.141
BNB,8/31/23,223.098,225.882,214.77,216.374,-6.724
BNB,9/1/23,216.374,218.137,211.141,213.389,-2.985
BNB,9/2/23,213.491,215.735,212.981,213.977,0.486
BNB,9/3/23,213.977,215.061,213.168,214.164,0.187
BNB,9/4/23,214.161,216.452,213.006,213.84,-0.321
BNB,9/5/23,213.74,215.842,213.398,214.195,0.455
BNB,9/6/23,214.295,218.26,212.1,214.769,0.474
BNB,9/7/23,214.671,217.791,213.463,216.789,2.118
BNB,9/8/23,216.998,218.704,213.323,214.27,-2.728
BNB,9/9/23,214.27,215.34,214.24,214.434,0.164
BNB,9/10/23,214.436,214.538,211.253,213.119,-1.317
BNB,9/11/23,213.221,213.723,203.935,205.534,-7.687
BNB,9/12/23,205.632,214.272,204.947,212.383,6.751
BNB,9/13/23,212.383,213.285,209.271,212.542,0.159
BNB,9/14/23,212.443,214.902,211.083,212.161,-0.282
BNB,9/15/23,212.262,213.387,210.998,212.994,0.732
BNB,9/16/23,213.194,215.804,213.092,214.919,1.725
BNB,9/17/23,214.819,216.848,213.336,216.152,1.333
BNB,9/18/23,216.252,221.235,215.032,215.939,-0.313
BNB,9/19/23,215.934,219.8,215.443,217.03,1.096
BNB,9/20/23,217.03,217.826,213.634,214.411,-2.619
BNB,9/21/23,214.413,215.404,209.319,210.792,-3.621
BNB,9/22/23,210.694,212.092,209.696,210.985,0.291
BNB,9/23/23,210.987,211.691,209.894,210.415,-0.572
BNB,9/24/23,210.415,211.211,208.712,209.708,-0.707
BNB,9/25/23,209.808,210.549,206.519,209.589,-0.219
BNB,9/26/23,209.787,213.538,209.639,211.409,1.622
BNB,9/27/23,211.409,215.827,210.353,211.246,-0.163
BNB,9/28/23,211.344,216.907,211.241,214.996,3.652
BNB,9/29/23,215.096,217.476,214.294,215.076,-0.02
BNB,9/30/23,215.076,216.4,214.087,215.243,0.167
BNB,10/1/23,215.143,216.522,213.119,214.324,-0.819
BNB,10/2/23,214.424,221.553,213.162,213.962,-0.462
BNB,10/3/23,214.062,215.802,212.496,213.498,-0.564
BNB,10/4/23,213.398,213.817,210.802,213.211,-0.187
BNB,10/5/23,213.208,213.9,210.336,210.857,-2.351
BNB,10/6/23,210.957,214.556,210.24,214.088,3.131
BNB,10/7/23,213.988,214.388,211.621,212.121,-1.867
BNB,10/8/23,212.221,212.83,209.159,211.52,-0.701
BNB,10/9/23,211.621,212.283,202.951,206.343,-5.278
BNB,10/10/23,206.343,213.028,204.849,208.523,2.18
BNB,10/11/23,208.521,208.923,204.351,206.242,-2.279
BNB,10/12/23,206.24,207.142,202.974,205.522,-0.718
BNB,10/13/23,205.524,208.121,204.216,207.057,1.533
BNB,10/14/23,207.154,207.556,205.659,206.585,-0.569
BNB,10/15/23,206.588,212.496,206.292,209.708,3.12
BNB,10/16/23,209.708,218.848,209.119,214.688,4.98
BNB,10/17/23,214.69,215.493,209.382,211.078,-3.612
BNB,10/18/23,211.178,213.768,209.94,210.344,-0.834
BNB,10/19/23,210.344,211.57,208.248,210.182,-0.162
